Locus Tag	Half Life combined fit	stdev_half_life_ABC
SYNPCC7002_A1650	0.524	0.552
SYNPCC7002_A1845	0.524	0.165
SYNPCC7002_A0835	0.525	0.349
SYNPCC7002_A1664	0.525	0.144
SYNPCC7002_A1349	0.525	0.197
SYNPCC7002_A2633	0.525	0.029
SYNPCC7002_A2239	0.525	0.437
SYNPCC7002_G0133	0.526	0.141
SYNPCC7002_A0510	0.527	1.319
SYNPCC7002_A0028	0.527	0.391
SYNPCC7002_A1389	0.527	0.233
SYNPCC7002_C0013	0.527	0.078
SYNPCC7002_A1536	0.527	0.033
SYNPCC7002_A1006	0.528	0.306
SYNPCC7002_A1596	0.528	0.009
SYNPCC7002_A2831	0.529	0.166
SYNPCC7002_A0347	0.530	0.371
SYNPCC7002_A0767	0.530	0.447
SYNPCC7002_F0073	0.530	0.040
SYNPCC7002_A0562	0.530	0.073
SYNPCC7002_A2570	0.530	0.107
SYNPCC7002_A0185	0.530	0.266
SYNPCC7002_A1183	0.531	0.009
SYNPCC7002_A1817	0.531	0.089
SYNPCC7002_A2370	0.531	0.619
SYNPCC7002_A2402	0.531	0.527
SYNPCC7002_A0252	0.532	0.188
SYNPCC7002_A2362	0.532	0.114
SYNPCC7002_A2056	0.532	0.516
SYNPCC7002_A2473	0.532	0.105
SYNPCC7002_A0259	0.532	0.021
SYNPCC7002_A2328	0.532	0.273
SYNPCC7002_A1931	0.534	0.039
SYNPCC7002_A1474	0.534	0.224
SYNPCC7002_A2071	0.534	0.092
SYNPCC7002_A2479	0.534	0.443
SYNPCC7002_A1245	0.535	0.024
SYNPCC7002_A1906	0.535	0.158
SYNPCC7002_A1441	0.536	0.289
SYNPCC7002_A2223	0.536	0.094
SYNPCC7002_A2191	0.536	0.076
SYNPCC7002_A2299	0.536	0.096
SYNPCC7002_A0376	0.537	0.111
SYNPCC7002_A1227	0.537	0.047
SYNPCC7002_A0822	0.537	0.351
SYNPCC7002_A0917	0.537	0.394
SYNPCC7002_A2465	0.537	0.703
SYNPCC7002_A0247	0.538	0.324
SYNPCC7002_A2695	0.538	0.089
SYNPCC7002_A0249	0.538	0.281
SYNPCC7002_A0281	0.539	0.542
SYNPCC7002_A2495	0.539	0.126
SYNPCC7002_A2148	0.542	1.254
SYNPCC7002_A0017	0.542	0.180
SYNPCC7002_A0709	0.543	0.129
SYNPCC7002_A0681	0.543	0.841
SYNPCC7002_A1488	0.543	0.264
SYNPCC7002_A2707	0.543	0.551
SYNPCC7002_F0056	0.544	0.045
SYNPCC7002_A1284	0.544	0.624
SYNPCC7002_A2426	0.545	0.083
SYNPCC7002_A0696	0.545	0.731
SYNPCC7002_A1094	0.546	0.108
SYNPCC7002_A2576	0.546	0.034
SYNPCC7002_A1231	0.546	0.278
SYNPCC7002_A2113	0.546	0.003
SYNPCC7002_A1782	0.546	0.894
SYNPCC7002_A2865	0.547	0.078
SYNPCC7002_A1282	0.547	0.083
SYNPCC7002_A1946	0.547	0.096
SYNPCC7002_A2368	0.548	0.034
SYNPCC7002_A0530	0.548	0.141
SYNPCC7002_A2102	0.548	0.024
SYNPCC7002_A0714	0.549	0.069
SYNPCC7002_A2767	0.549	0.071
SYNPCC7002_A2074	0.549	0.142
SYNPCC7002_A0187	0.549	0.302
SYNPCC7002_A2553	0.549	0.470
SYNPCC7002_A1289	0.550	0.138
SYNPCC7002_A0367	0.550	0.075
SYNPCC7002_A2096	0.550	0.087
SYNPCC7002_A0045	0.551	0.034
SYNPCC7002_A2269	0.551	0.063
SYNPCC7002_A2693	0.551	0.019
SYNPCC7002_A0451	0.552	0.033
SYNPCC7002_G0036	0.552	0.122
SYNPCC7002_A1969	0.553	0.084
SYNPCC7002_A1377	0.553	0.265
SYNPCC7002_A1195	0.554	0.058
SYNPCC7002_A0718	0.554	0.700
SYNPCC7002_A1388	0.554	0.114
SYNPCC7002_A2077	0.554	0.119
SYNPCC7002_A0455	0.554	0.145
