Locus Tag	Half Life combined fit	stdev_half_life_ABC
SYNPCC7002_A0348	0.927	0.106
SYNPCC7002_A0323	0.927	0.128
SYNPCC7002_A2421	0.927	1.179
SYNPCC7002_A0066	0.927	1.901
SYNPCC7002_A1684	0.928	0.428
SYNPCC7002_F0025	0.928	0.142
SYNPCC7002_A0628	0.928	1.756
SYNPCC7002_A0138	0.928	0.131
SYNPCC7002_F0010	0.929	0.107
SYNPCC7002_A0761	0.929	0.252
SYNPCC7002_A0852	0.929	0.784
SYNPCC7002_A2029	0.929	0.245
SYNPCC7002_A2714	0.930	0.081
SYNPCC7002_A0625	0.930	0.228
SYNPCC7002_A2091	0.930	0.152
SYNPCC7002_G0002	0.930	0.132
SYNPCC7002_A1404	0.930	0.156
SYNPCC7002_A2317	0.930	0.192
SYNPCC7002_A0582	0.931	0.076
SYNPCC7002_A1169	0.931	2.518
SYNPCC7002_A2554	0.931	0.210
SYNPCC7002_A1200	0.931	0.815
SYNPCC7002_A0763	0.932	0.100
SYNPCC7002_A2575	0.933	0.371
SYNPCC7002_A2053	0.934	4.421
SYNPCC7002_F0071	0.934	0.119
SYNPCC7002_A0452	0.934	0.253
SYNPCC7002_E0027	0.934	0.111
SYNPCC7002_A1150	0.934	0.280
SYNPCC7002_A0327	0.934	0.407
SYNPCC7002_A1707	0.935	0.085
SYNPCC7002_A2807	0.935	2.983
SYNPCC7002_A1331	0.935	1.504
SYNPCC7002_E0034	0.936	0.214
SYNPCC7002_A1240	0.936	3.295
SYNPCC7002_G0146	0.936	2.066
SYNPCC7002_A1140	0.936	0.176
SYNPCC7002_A1575	0.936	0.062
SYNPCC7002_A1907	0.937	0.978
SYNPCC7002_A0994	0.937	0.334
SYNPCC7002_A0551	0.937	0.055
SYNPCC7002_A0931	0.938	0.062
SYNPCC7002_A2568	0.938	1.127
SYNPCC7002_A1489	0.939	0.165
SYNPCC7002_A0241	0.939	0.311
SYNPCC7002_A0806	0.939	0.025
SYNPCC7002_A0993	0.939	0.249
SYNPCC7002_A1674	0.940	4.286
SYNPCC7002_G0026	0.940	0.151
SYNPCC7002_A2081	0.940	0.187
SYNPCC7002_A0508	0.941	0.092
SYNPCC7002_A0930	0.941	0.038
SYNPCC7002_A0433	0.941	0.060
SYNPCC7002_A2819	0.941	0.236
SYNPCC7002_A2516	0.941	0.202
SYNPCC7002_A2384	0.941	0.360
SYNPCC7002_A0021	0.941	0.221
SYNPCC7002_A0616	0.941	0.703
SYNPCC7002_A2314	0.942	0.312
SYNPCC7002_A1266	0.942	0.129
SYNPCC7002_G0164	0.942	0.080
SYNPCC7002_A1567	0.943	0.489
SYNPCC7002_A2862	0.943	6.928
SYNPCC7002_A0179	0.943	0.107
SYNPCC7002_A0790	0.943	0.171
SYNPCC7002_A2282	0.943	1.498
SYNPCC7002_A2805	0.944	0.172
SYNPCC7002_A0226	0.944	0.150
SYNPCC7002_A1968	0.944	0.144
SYNPCC7002_A1265	0.944	0.161
SYNPCC7002_A1242	0.944	0.850
SYNPCC7002_A2558	0.944	0.058
SYNPCC7002_A1426	0.945	0.891
SYNPCC7002_A1546	0.945	0.201
SYNPCC7002_A0462	0.945	0.075
SYNPCC7002_A0933	0.945	0.080
SYNPCC7002_A0141	0.945	0.082
SYNPCC7002_A2409	0.945	0.178
SYNPCC7002_A2642	0.946	0.202
SYNPCC7002_A0606	0.946	0.077
SYNPCC7002_A1719	0.946	1.100
SYNPCC7002_A0611	0.946	0.483
SYNPCC7002_A1843	0.946	0.291
SYNPCC7002_A2569	0.946	0.176
SYNPCC7002_A2121	0.946	0.154
SYNPCC7002_A2811	0.948	0.030
SYNPCC7002_G0063	0.948	0.063
SYNPCC7002_A1131	0.948	0.500
SYNPCC7002_A0911	0.949	0.279
SYNPCC7002_A2658	0.949	0.154
SYNPCC7002_A0458	0.950	0.321
SYNPCC7002_F0098	0.950	0.107
SYNPCC7002_G0139	0.950	0.016
SYNPCC7002_A1711	0.950	0.179
SYNPCC7002_A0881	0.951	0.069
SYNPCC7002_A0565	0.951	0.228
SYNPCC7002_A1218	0.951	0.167
SYNPCC7002_A2316	0.951	0.009
SYNPCC7002_A2040	0.951	0.052
SYNPCC7002_A1828	0.952	0.050
SYNPCC7002_A2628	0.952	2.714
SYNPCC7002_A1165	0.952	0.259
SYNPCC7002_A0256	0.952	0.134
SYNPCC7002_A1004	0.952	0.184
SYNPCC7002_A1287	0.952	0.046
SYNPCC7002_A2218	0.952	0.123
SYNPCC7002_A0350	0.953	0.727
SYNPCC7002_A0328	0.953	0.236
SYNPCC7002_A2311	0.953	0.178
SYNPCC7002_A1804	0.954	0.241
SYNPCC7002_A1768	0.954	0.061
SYNPCC7002_A0663	0.954	0.159
SYNPCC7002_A2874	0.955	2.412
SYNPCC7002_A2815	0.956	0.106
SYNPCC7002_A0309	0.956	0.107
SYNPCC7002_A2279	0.956	0.245
SYNPCC7002_A1325	0.956	2.357
SYNPCC7002_A2713	0.957	0.242
SYNPCC7002_A2165	0.957	0.176
SYNPCC7002_A2265	0.957	0.123
SYNPCC7002_A0579	0.957	1.034
SYNPCC7002_A0844	0.957	1.390
SYNPCC7002_A0701	0.957	1.667
SYNPCC7002_A2581	0.958	0.075
SYNPCC7002_A1666	0.958	0.147
SYNPCC7002_A1007	0.958	0.207
SYNPCC7002_A2360	0.958	1.707
SYNPCC7002_A0939	0.958	0.062
SYNPCC7002_A0091	0.958	0.936
SYNPCC7002_A1742	0.958	0.243
SYNPCC7002_A2332	0.959	0.122
SYNPCC7002_A0205	0.959	0.421
SYNPCC7002_A0821	0.959	0.545
SYNPCC7002_G0084	0.959	0.417
SYNPCC7002_A2275	0.959	2.170
SYNPCC7002_A0438	0.959	0.099
SYNPCC7002_A2344	0.960	3.950
SYNPCC7002_A1261	0.961	0.031
SYNPCC7002_A1170	0.961	0.950
SYNPCC7002_A1210	0.961	0.185
SYNPCC7002_A1649	0.961	0.143
SYNPCC7002_A2229	0.961	0.331
SYNPCC7002_A1305	0.962	0.040
SYNPCC7002_A2387	0.962	0.173
SYNPCC7002_E0035	0.962	0.576
SYNPCC7002_A1645	0.962	0.244
SYNPCC7002_A2763	0.963	0.128
SYNPCC7002_A2024	0.963	0.159
SYNPCC7002_A0759	0.963	0.094
SYNPCC7002_A2012	0.963	0.186
SYNPCC7002_A1412	0.963	0.225
SYNPCC7002_A0146	0.964	0.061
SYNPCC7002_A2363	0.965	2.038
SYNPCC7002_A2615	0.965	0.300
SYNPCC7002_A2478	0.965	0.679
SYNPCC7002_C0015	0.965	0.386
SYNPCC7002_A0741	0.965	3.225
SYNPCC7002_A0478	0.965	1.106
SYNPCC7002_A0065	0.966	0.131
SYNPCC7002_A1275	0.967	4.554
SYNPCC7002_A0521	0.967	1.331
SYNPCC7002_A0235	0.967	0.416
SYNPCC7002_A2517	0.968	0.170
SYNPCC7002_A2315	0.968	0.071
SYNPCC7002_A2098	0.968	1.650
SYNPCC7002_A1097	0.968	0.137
SYNPCC7002_A0987	0.968	0.170
SYNPCC7002_A1081	0.968	1.299
SYNPCC7002_A0958	0.968	0.876
SYNPCC7002_A1859	0.969	0.073
SYNPCC7002_A1574	0.969	0.181
SYNPCC7002_A1401	0.969	0.632
SYNPCC7002_A1672	0.969	0.683
SYNPCC7002_A0870	0.969	0.242
SYNPCC7002_A2802	0.970	0.151
SYNPCC7002_A0576	0.970	0.281
SYNPCC7002_A1123	0.970	0.068
SYNPCC7002_D0025	0.970	3.103
SYNPCC7002_A1409	0.970	0.258
SYNPCC7002_A1356	0.970	0.050
SYNPCC7002_A0648	0.970	1.815
SYNPCC7002_A0610	0.971	0.113
SYNPCC7002_A1697	0.971	0.148
SYNPCC7002_A2759	0.971	0.163
SYNPCC7002_G0107	0.971	0.859
SYNPCC7002_A1368	0.971	0.285
SYNPCC7002_A0692	0.972	0.066
SYNPCC7002_A2509	0.972	0.207
SYNPCC7002_A1698	0.973	0.303
SYNPCC7002_A2761	0.973	2.257
SYNPCC7002_A1912	0.973	1.074
SYNPCC7002_A2623	0.973	0.186
SYNPCC7002_A1588	0.973	0.243
SYNPCC7002_A2302	0.974	1.228
SYNPCC7002_A2289	0.975	2.835
SYNPCC7002_A0830	0.975	0.073
SYNPCC7002_A1867	0.975	0.121
SYNPCC7002_A0524	0.976	1.510
SYNPCC7002_A0346	0.977	0.133
SYNPCC7002_A0098	0.977	0.059
SYNPCC7002_A2297	0.977	0.152
SYNPCC7002_A0080	0.977	0.723
SYNPCC7002_A1205	0.977	0.251
SYNPCC7002_A0329	0.978	0.235
SYNPCC7002_A0867	0.979	0.113
SYNPCC7002_A0068	0.979	0.067
SYNPCC7002_A0308	0.980	0.367
SYNPCC7002_A2026	0.980	0.186
SYNPCC7002_A2708	0.980	4.673
SYNPCC7002_A1895	0.982	0.297
SYNPCC7002_A1744	0.982	10.786
SYNPCC7002_A0675	0.982	0.149
SYNPCC7002_A1177	0.982	0.205
SYNPCC7002_A1587	0.982	0.233
SYNPCC7002_A1176	0.983	2.184
SYNPCC7002_A2267	0.983	0.149
SYNPCC7002_A0728	0.984	0.203
SYNPCC7002_A2424	0.984	2.776
SYNPCC7002_A1762	0.984	0.102
SYNPCC7002_A1428	0.985	0.216
SYNPCC7002_A2772	0.985	0.132
SYNPCC7002_A0537	0.985	0.052
SYNPCC7002_A2497	0.985	0.170
SYNPCC7002_A0884	0.985	0.045
SYNPCC7002_A0604	0.986	0.085
SYNPCC7002_A0196	0.986	0.321
SYNPCC7002_A1025	0.986	0.166
SYNPCC7002_A1545	0.986	0.115
SYNPCC7002_A2859	0.987	1.022
SYNPCC7002_A2231	0.987	0.107
SYNPCC7002_A2016	0.987	2.075
SYNPCC7002_A0427	0.988	0.045
SYNPCC7002_A0677	0.988	0.022
SYNPCC7002_A1252	0.988	0.032
SYNPCC7002_A2550	0.988	0.190
SYNPCC7002_A1727	0.988	0.141
SYNPCC7002_A0580	0.988	3.306
SYNPCC7002_A1480	0.988	0.033
SYNPCC7002_A1715	0.989	0.948
SYNPCC7002_A2115	0.990	0.152
SYNPCC7002_A0584	0.990	0.977
SYNPCC7002_A0820	0.991	0.071
SYNPCC7002_A1783	0.991	0.216
SYNPCC7002_A0964	0.991	1.548
SYNPCC7002_A2224	0.992	0.045
SYNPCC7002_A0636	0.992	0.352
SYNPCC7002_A2155	0.992	1.379
SYNPCC7002_A0851	0.993	0.569
SYNPCC7002_A2407	0.993	0.575
SYNPCC7002_A0092	0.993	1.344
SYNPCC7002_A0960	0.993	0.135
SYNPCC7002_A1898	0.994	1.870
SYNPCC7002_A1427	0.994	0.222
SYNPCC7002_A0417	0.994	0.076
SYNPCC7002_A0889	0.995	0.255
SYNPCC7002_A0772	0.995	0.945
SYNPCC7002_A0099	0.996	1.441
SYNPCC7002_A2400	0.996	2.212
SYNPCC7002_A2796	0.996	2.034
SYNPCC7002_A2385	0.996	0.151
SYNPCC7002_A1437	0.997	1.525
SYNPCC7002_A1222	0.997	0.266
SYNPCC7002_A0222	0.998	1.527
SYNPCC7002_G0147	0.998	0.047
SYNPCC7002_A0275	0.998	0.051
SYNPCC7002_A1348	0.998	0.032
SYNPCC7002_A1119	0.998	0.167
SYNPCC7002_A2625	0.999	0.254
SYNPCC7002_A2760	0.999	0.049
SYNPCC7002_A1299	0.999	0.110
SYNPCC7002_A0424	0.999	0.206
SYNPCC7002_F0027	0.999	0.252
SYNPCC7002_A2215	0.999	0.069
SYNPCC7002_A0511	1.000	0.090
SYNPCC7002_A2321	1.000	0.195
SYNPCC7002_A2216	1.000	0.070
SYNPCC7002_A2356	1.000	0.126
SYNPCC7002_A1556	1.001	0.312
SYNPCC7002_A0856	1.001	0.184
SYNPCC7002_A0178	1.002	0.031
SYNPCC7002_A2235	1.002	1.164
SYNPCC7002_A2405	1.002	2.015
SYNPCC7002_E0026	1.002	0.120
SYNPCC7002_A2801	1.002	0.284
SYNPCC7002_A2622	1.003	0.229
SYNPCC7002_A2383	1.004	0.251
SYNPCC7002_A2612	1.004	0.498
SYNPCC7002_A2735	1.004	0.248
SYNPCC7002_A1130	1.005	0.136
SYNPCC7002_A1111	1.006	0.061
SYNPCC7002_A1339	1.006	0.015
SYNPCC7002_A2797	1.007	0.108
SYNPCC7002_A1207	1.007	0.257
SYNPCC7002_A0260	1.007	0.040
SYNPCC7002_A0364	1.007	0.287
SYNPCC7002_A0460	1.008	0.191
SYNPCC7002_A0778	1.008	0.229
SYNPCC7002_A0006	1.009	0.084
SYNPCC7002_A1254	1.009	0.284
SYNPCC7002_A1925	1.009	0.174
SYNPCC7002_A0385	1.010	0.194
SYNPCC7002_A2106	1.010	0.061
SYNPCC7002_A1920	1.010	2.262
SYNPCC7002_A0592	1.011	0.090
SYNPCC7002_A0572	1.011	3.630
SYNPCC7002_A1816	1.012	0.258
SYNPCC7002_A1842	1.013	0.268
SYNPCC7002_A2364	1.013	0.195
SYNPCC7002_A1769	1.013	0.465
SYNPCC7002_A1681	1.013	0.202
SYNPCC7002_A1084	1.013	2.288
SYNPCC7002_A2291	1.014	0.114
SYNPCC7002_F0055	1.015	0.305
SYNPCC7002_A0935	1.016	0.189
SYNPCC7002_A0276	1.017	0.225
SYNPCC7002_F0091	1.017	0.237
SYNPCC7002_A2573	1.017	0.007
SYNPCC7002_A0406	1.017	0.248
SYNPCC7002_A1001	1.017	0.290
SYNPCC7002_A0404	1.017	0.258
SYNPCC7002_F0065	1.018	0.086
SYNPCC7002_A2353	1.018	0.066
SYNPCC7002_A1890	1.019	0.552
SYNPCC7002_A1492	1.019	1.652
SYNPCC7002_A0799	1.019	0.134
SYNPCC7002_A1206	1.020	0.512
SYNPCC7002_A1353	1.020	0.150
SYNPCC7002_A1475	1.020	0.294
SYNPCC7002_G0124	1.021	0.389
SYNPCC7002_A1648	1.021	1.418
SYNPCC7002_A0678	1.023	0.232
SYNPCC7002_A2228	1.023	0.867
SYNPCC7002_A0573	1.023	0.014
SYNPCC7002_A1440	1.024	0.166
SYNPCC7002_A1853	1.025	0.041
SYNPCC7002_A2582	1.025	0.115
SYNPCC7002_A0307	1.025	0.097
SYNPCC7002_A2290	1.025	0.550
SYNPCC7002_A1552	1.025	0.314
SYNPCC7002_G0012	1.026	0.302
SYNPCC7002_A1731	1.026	0.479
SYNPCC7002_A0815	1.026	0.021
SYNPCC7002_A1197	1.026	0.219
SYNPCC7002_A1757	1.027	1.101
SYNPCC7002_A1945	1.028	0.127
SYNPCC7002_A0001	1.028	0.107
SYNPCC7002_A0959	1.028	0.211
SYNPCC7002_A0826	1.028	0.167
SYNPCC7002_A1189	1.029	0.183
SYNPCC7002_F0022	1.029	0.064
SYNPCC7002_A0679	1.029	0.089
SYNPCC7002_A1737	1.029	2.352
SYNPCC7002_A0781	1.029	0.048
SYNPCC7002_A2006	1.030	0.349
SYNPCC7002_A1644	1.030	0.271
SYNPCC7002_A2828	1.030	0.176
SYNPCC7002_A0236	1.030	0.205
SYNPCC7002_A1623	1.031	0.197
SYNPCC7002_A0982	1.031	0.124
SYNPCC7002_A2565	1.032	0.838
SYNPCC7002_A0116	1.032	0.293
SYNPCC7002_A2834	1.032	0.679
SYNPCC7002_A0480	1.033	0.278
SYNPCC7002_A2613	1.033	0.081
SYNPCC7002_A1220	1.034	0.266
SYNPCC7002_A1250	1.034	0.286
SYNPCC7002_A2147	1.035	0.383
SYNPCC7002_A1201	1.035	0.355
SYNPCC7002_A0161	1.035	0.134
SYNPCC7002_A1791	1.035	0.063
SYNPCC7002_A1901	1.035	1.868
SYNPCC7002_A2232	1.036	0.355
SYNPCC7002_A2843	1.036	0.206
SYNPCC7002_A2139	1.037	0.223
SYNPCC7002_A0944	1.037	0.052
SYNPCC7002_A2054	1.037	3.830
SYNPCC7002_A0766	1.038	0.182
SYNPCC7002_A2632	1.038	0.018
SYNPCC7002_A2513	1.039	3.366
SYNPCC7002_A2268	1.039	0.035
SYNPCC7002_A0723	1.039	2.757
SYNPCC7002_A0134	1.040	4.794
SYNPCC7002_A1894	1.040	3.079
SYNPCC7002_A1155	1.041	0.225
SYNPCC7002_A0893	1.041	0.205
SYNPCC7002_A1938	1.042	1.944
SYNPCC7002_A2849	1.042	2.065
SYNPCC7002_A1113	1.042	0.110
SYNPCC7002_A0608	1.042	0.194
SYNPCC7002_A2105	1.042	1.145
SYNPCC7002_A0060	1.042	0.049
SYNPCC7002_A1382	1.042	0.060
SYNPCC7002_A0722	1.043	0.198
SYNPCC7002_A1621	1.043	0.149
SYNPCC7002_G0106	1.044	0.327
SYNPCC7002_A1505	1.045	0.292
SYNPCC7002_A0330	1.045	4.034
SYNPCC7002_G0035	1.045	4.521
SYNPCC7002_A1143	1.046	0.210
SYNPCC7002_A1735	1.046	0.223
SYNPCC7002_A2500	1.046	0.078
SYNPCC7002_A1267	1.047	2.966
SYNPCC7002_F0089	1.047	0.076
SYNPCC7002_A0292	1.048	0.132
SYNPCC7002_A2255	1.049	0.241
SYNPCC7002_A1403	1.049	0.173
SYNPCC7002_A0632	1.049	0.378
SYNPCC7002_A2616	1.049	0.034
SYNPCC7002_A0234	1.049	0.097
SYNPCC7002_A1611	1.049	0.495
SYNPCC7002_A1790	1.050	0.127
SYNPCC7002_A1653	1.050	1.121
SYNPCC7002_A1479	1.050	0.378
SYNPCC7002_A2729	1.050	0.083
SYNPCC7002_A0218	1.050	0.442
SYNPCC7002_A2482	1.051	0.746
SYNPCC7002_A2863	1.052	0.084
SYNPCC7002_A0794	1.052	1.344
SYNPCC7002_A0609	1.053	0.406
SYNPCC7002_A1957	1.053	0.175
SYNPCC7002_A2266	1.054	2.318
SYNPCC7002_A0310	1.055	1.983
SYNPCC7002_A2146	1.055	0.368
SYNPCC7002_A2159	1.055	0.339
SYNPCC7002_A2132	1.056	0.204
SYNPCC7002_A0877	1.056	0.530
SYNPCC7002_A2555	1.056	0.040
SYNPCC7002_A0361	1.056	0.088
SYNPCC7002_A0332	1.057	0.073
SYNPCC7002_A2341	1.057	0.300
SYNPCC7002_A0555	1.058	0.240
SYNPCC7002_A2200	1.058	0.232
SYNPCC7002_A1108	1.058	0.204
SYNPCC7002_A1402	1.058	0.949
SYNPCC7002_A2403	1.059	0.220
SYNPCC7002_F0007	1.059	0.190
SYNPCC7002_G0088	1.059	1.342
SYNPCC7002_A1864	1.060	0.331
SYNPCC7002_A0075	1.060	1.234
SYNPCC7002_A0077	1.060	0.123
SYNPCC7002_A0563	1.061	0.032
SYNPCC7002_A0076	1.061	0.250
SYNPCC7002_A1506	1.061	0.027
SYNPCC7002_A0671	1.062	0.126
SYNPCC7002_A2481	1.062	0.447
SYNPCC7002_A0150	1.063	0.218
SYNPCC7002_A0876	1.064	0.690
SYNPCC7002_A1566	1.064	0.108
SYNPCC7002_A0079	1.064	0.196
SYNPCC7002_A0039	1.064	0.026
SYNPCC7002_A2771	1.065	0.390
SYNPCC7002_A0702	1.066	0.170
SYNPCC7002_A2832	1.066	0.142
SYNPCC7002_F0009	1.066	0.046
SYNPCC7002_E0023	1.066	0.255
SYNPCC7002_A0789	1.066	0.046
SYNPCC7002_A0819	1.067	0.175
SYNPCC7002_F0079	1.068	0.278
SYNPCC7002_A2719	1.069	0.608
SYNPCC7002_A1839	1.069	0.227
SYNPCC7002_A1612	1.069	0.192
SYNPCC7002_A0064	1.070	0.342
SYNPCC7002_A1827	1.070	0.261
SYNPCC7002_A0710	1.070	0.131
SYNPCC7002_F0023	1.071	0.347
SYNPCC7002_A1794	1.073	0.276
SYNPCC7002_A2791	1.073	0.315
SYNPCC7002_A1088	1.073	2.382
SYNPCC7002_A2483	1.073	0.026
SYNPCC7002_A0044	1.073	0.129
SYNPCC7002_A0887	1.073	0.104
SYNPCC7002_A0664	1.073	0.342
SYNPCC7002_A1699	1.073	0.127
SYNPCC7002_A1211	1.075	0.810
SYNPCC7002_A1461	1.076	0.128
SYNPCC7002_A0002	1.077	0.232
SYNPCC7002_A0665	1.077	0.124
SYNPCC7002_A2345	1.077	0.288
SYNPCC7002_A2709	1.077	0.458
SYNPCC7002_A0010	1.078	0.327
SYNPCC7002_A1873	1.078	0.402
SYNPCC7002_A2751	1.079	0.176
SYNPCC7002_A2486	1.079	0.275
SYNPCC7002_A2288	1.079	0.249
SYNPCC7002_A2130	1.080	0.212
SYNPCC7002_A1448	1.080	0.425
SYNPCC7002_A1647	1.081	0.130
SYNPCC7002_A2835	1.081	0.071
SYNPCC7002_E0012	1.081	1.284
SYNPCC7002_A2477	1.082	0.157
SYNPCC7002_A1271	1.082	0.137
SYNPCC7002_A1955	1.082	0.212
SYNPCC7002_A0578	1.084	0.094
SYNPCC7002_A2654	1.084	0.101
SYNPCC7002_A0850	1.086	0.051
SYNPCC7002_A2528	1.087	3.295
SYNPCC7002_A0108	1.087	0.271
SYNPCC7002_A0945	1.088	0.067
SYNPCC7002_G0014	1.088	0.341
SYNPCC7002_A1726	1.089	1.143
SYNPCC7002_A1701	1.090	2.125
SYNPCC7002_A1204	1.090	0.357
SYNPCC7002_G0077	1.090	0.308
SYNPCC7002_A1410	1.092	0.206
SYNPCC7002_A1283	1.092	0.332
SYNPCC7002_A2529	1.094	1.926
SYNPCC7002_A0912	1.094	0.048
SYNPCC7002_A2680	1.094	2.059
SYNPCC7002_A0742	1.094	0.069
SYNPCC7002_A2080	1.094	0.062
SYNPCC7002_A2501	1.095	0.306
SYNPCC7002_E0014	1.095	0.502
SYNPCC7002_A1541	1.095	0.029
SYNPCC7002_A2343	1.096	0.269
SYNPCC7002_A1857	1.097	0.267
SYNPCC7002_A0538	1.097	0.072
SYNPCC7002_G0073	1.098	0.443
SYNPCC7002_G0116	1.098	0.750
SYNPCC7002_A2672	1.099	4.864
SYNPCC7002_A1904	1.100	0.710
SYNPCC7002_A2394	1.101	0.182
SYNPCC7002_A0704	1.101	0.124
SYNPCC7002_A1362	1.102	0.104
SYNPCC7002_A0504	1.102	0.524
SYNPCC7002_A0895	1.103	1.653
SYNPCC7002_G0115	1.103	0.502
SYNPCC7002_A0968	1.103	0.108
SYNPCC7002_F0103	1.104	0.325
SYNPCC7002_A2757	1.104	0.091
SYNPCC7002_A0613	1.104	0.206
SYNPCC7002_A0342	1.105	0.120
SYNPCC7002_A2196	1.105	0.146
SYNPCC7002_G0129	1.106	0.092
SYNPCC7002_A0838	1.107	0.042
SYNPCC7002_A0063	1.108	0.056
SYNPCC7002_A1673	1.108	0.195
SYNPCC7002_A2259	1.109	0.562
SYNPCC7002_A0416	1.109	0.297
SYNPCC7002_F0048	1.109	0.291
SYNPCC7002_A0498	1.110	1.242
SYNPCC7002_A1792	1.111	0.075
SYNPCC7002_A2526	1.111	0.053
SYNPCC7002_A2168	1.112	0.641
SYNPCC7002_A2114	1.113	0.216
SYNPCC7002_A2116	1.113	0.045
SYNPCC7002_A0666	1.114	0.157
SYNPCC7002_A1635	1.114	1.453
SYNPCC7002_A2318	1.114	1.607
SYNPCC7002_A2298	1.115	0.071
SYNPCC7002_A2675	1.115	1.278
SYNPCC7002_A1580	1.115	0.364
SYNPCC7002_A0805	1.115	1.474
SYNPCC7002_A1371	1.116	0.071
SYNPCC7002_A1542	1.116	0.925
SYNPCC7002_A2657	1.116	1.074
SYNPCC7002_A1980	1.117	0.240
SYNPCC7002_G0155	1.117	0.076
SYNPCC7002_A0953	1.117	0.336
SYNPCC7002_A2590	1.118	4.261
SYNPCC7002_A1533	1.118	1.071
SYNPCC7002_A2783	1.119	0.414
SYNPCC7002_F0105	1.119	0.551
SYNPCC7002_A1411	1.120	0.377
SYNPCC7002_A0041	1.120	2.066
SYNPCC7002_A0926	1.120	0.103
SYNPCC7002_A1599	1.122	0.254
SYNPCC7002_A0100	1.123	0.306
SYNPCC7002_A1381	1.123	0.156
SYNPCC7002_A2848	1.124	0.056
SYNPCC7002_A0399	1.124	0.249
SYNPCC7002_A2736	1.124	1.848
SYNPCC7002_A2359	1.124	2.215
SYNPCC7002_G0038	1.125	0.222
SYNPCC7002_A0311	1.125	0.081
SYNPCC7002_A1002	1.125	0.210
SYNPCC7002_A0807	1.126	0.352
SYNPCC7002_A0743	1.128	1.983
SYNPCC7002_A1109	1.129	0.426
SYNPCC7002_A0797	1.129	0.108
SYNPCC7002_A0727	1.130	0.208
SYNPCC7002_A1470	1.131	0.431
SYNPCC7002_A1712	1.131	0.196
SYNPCC7002_A1667	1.132	1.085
SYNPCC7002_A2530	1.132	0.065
SYNPCC7002_A2005	1.133	0.088
SYNPCC7002_A2423	1.133	1.251
SYNPCC7002_G0006	1.133	0.098
SYNPCC7002_A2544	1.134	0.136
SYNPCC7002_A2846	1.134	1.903
SYNPCC7002_A2765	1.135	1.356
SYNPCC7002_G0024	1.136	1.259
SYNPCC7002_A1317	1.137	0.192
SYNPCC7002_D0027	1.137	0.233
SYNPCC7002_A0581	1.138	0.066
SYNPCC7002_A0787	1.139	2.143
SYNPCC7002_A1616	1.139	2.142
SYNPCC7002_A0574	1.139	3.324
SYNPCC7002_G0134	1.139	1.996
SYNPCC7002_A2390	1.140	0.172
SYNPCC7002_F0074	1.141	1.476
SYNPCC7002_A0124	1.141	1.519
SYNPCC7002_A1656	1.142	0.067
SYNPCC7002_A0255	1.142	0.100
SYNPCC7002_A2653	1.142	0.180
SYNPCC7002_A1161	1.143	0.358
SYNPCC7002_A2535	1.144	0.281
SYNPCC7002_A0825	1.145	1.536
SYNPCC7002_A0360	1.145	0.219
SYNPCC7002_A1825	1.146	0.057
SYNPCC7002_A2274	1.146	0.298
SYNPCC7002_C0011	1.146	0.241
SYNPCC7002_C0007	1.146	0.610
SYNPCC7002_A1878	1.147	1.188
SYNPCC7002_A2487	1.148	0.094
SYNPCC7002_A0670	1.148	0.383
SYNPCC7002_A2404	1.149	0.830
SYNPCC7002_A0468	1.149	0.005
SYNPCC7002_A2694	1.152	1.650
SYNPCC7002_A1075	1.152	0.346
SYNPCC7002_A2855	1.152	0.082
SYNPCC7002_G0117	1.156	0.024
SYNPCC7002_A0687	1.156	0.096
SYNPCC7002_A1749	1.157	0.005
SYNPCC7002_A2169	1.158	0.510
SYNPCC7002_A2381	1.159	0.060
SYNPCC7002_G0097	1.159	0.358
SYNPCC7002_A0181	1.160	0.082
SYNPCC7002_A0941	1.160	2.485
SYNPCC7002_G0132	1.161	2.810
SYNPCC7002_A1940	1.161	0.722
SYNPCC7002_A2812	1.161	0.322
SYNPCC7002_A0554	1.162	1.872
SYNPCC7002_A1018	1.163	0.029
SYNPCC7002_A1500	1.163	0.102
SYNPCC7002_G0060	1.164	0.031
SYNPCC7002_A0845	1.166	0.173
SYNPCC7002_A0440	1.166	0.153
SYNPCC7002_A0690	1.166	0.211
SYNPCC7002_A1543	1.167	0.066
SYNPCC7002_A0708	1.168	2.708
SYNPCC7002_A1364	1.168	0.135
SYNPCC7002_A0345	1.169	0.110
SYNPCC7002_A2614	1.169	2.999
SYNPCC7002_A1485	1.170	0.277
SYNPCC7002_A0441	1.172	0.604
SYNPCC7002_A0197	1.173	0.387
SYNPCC7002_A0627	1.174	0.186
SYNPCC7002_E0015	1.175	1.594
SYNPCC7002_A2417	1.176	0.075
SYNPCC7002_A0148	1.176	0.146
SYNPCC7002_A2770	1.176	0.051
SYNPCC7002_F0051	1.178	0.384
SYNPCC7002_A1230	1.178	0.025
SYNPCC7002_A1105	1.179	0.330
SYNPCC7002_A0500	1.179	0.166
SYNPCC7002_A0219	1.180	1.763
SYNPCC7002_A2089	1.181	0.824
SYNPCC7002_A0401	1.181	0.097
SYNPCC7002_A0270	1.181	1.226
SYNPCC7002_A2227	1.181	0.053
SYNPCC7002_A0689	1.182	0.076
SYNPCC7002_F0054	1.183	1.376
SYNPCC7002_A2609	1.183	0.056
SYNPCC7002_A2673	1.184	1.618
SYNPCC7002_G0111	1.184	0.416
